Name	Start	Duration	Time Format	Type	Description
場の魅力	2:09:40.000	0:00.000	decimal	Cue	
博士課程の今後	2:04:11.815	0:00.000	decimal	Cue	
地方と東京	2:01:25.632	0:00.000	decimal	Cue	
結婚式前後	1:51:20.000	0:00.000	decimal	Cue	
アラフォー号泣テーブル	1:43:42.212	0:00.000	decimal	Cue	
コペンハーゲン集合	1:34:38.117	0:00.000	decimal	Cue	
入国審査	1:23:20.000	0:00.000	decimal	Cue	
シンガポール家族旅行	1:13:31.994	0:00.000	decimal	Cue	
終わるのはあっという間	1:10:04.150	0:00.000	decimal	Cue	
音楽選定	1:05:30.902	0:00.000	decimal	Cue	
語らずに感じさせる	56:30.470	0:00.000	decimal	Cue	
オープニングムービー	48:16.076	0:00.000	decimal	Cue	
人前式	38:47.259	0:00.000	decimal	Cue	
ひろしの回想	27:28.583	0:00.000	decimal	Cue	
スピーチ	23:03.967	0:00.000	decimal	Cue	
プロフィールブック	15:48.022	0:00.000	decimal	Cue	
晴れの日の舞台裏	0:00.000	0:00.000	decimal	Cue	
