Name	Start	Duration	Time Format	Type	Description
サマータイム	0:00.000	0:00.000	decimal	Cue	
人事	6:27.729	0:00.000	decimal	Cue	
MPG	9:10.979	0:00.000	decimal	Cue	
フットボール支部	17:18.228	0:00.000	decimal	Cue	
三笘ハットトリック	19:35.644	0:00.000	decimal	Cue	
ナレッジオブリザルト	32:53.515	0:00.000	decimal	Cue	
興梠インタビュー	45:33.582	0:00.000	decimal	Cue	
ホームタウン制度	54:54.393	0:00.000	decimal	Cue	
スタジアム	1:04:00.000	0:00.000	decimal	Cue	
埼スタ神話	1:22:10.527	0:00.000	decimal	Cue	
スポーツ大会の収益の増やし方	1:36:19.515	0:00.000	decimal	Cue	
西野TDの妄想	1:45:04.073	0:00.000	decimal	Cue	
3つ目の「つくり」とは	1:53:03.404	0:00.000	decimal	Cue	
ファンサポーター	2:03:53.183	0:00.000	decimal	Cue	
岩政さん本	2:05:16.637	0:00.000	decimal	Cue	
