Name	Start	Duration	Time Format	Type	Description
プレミアリーグ	0:00.000	0:00.000	decimal	Cue	
MPG - ファンタジーフットボール	3:33.411	0:00.000	decimal	Cue	
ソリーマーチ	7:36.099	0:00.000	decimal	Cue	
一位から順番に	8:21.779	0:00.000	decimal	Cue	
前半戦との比較	24:52.945	0:00.000	decimal	Cue	
オブザイヤー	39:01.843	0:00.000	decimal	Cue	
わたるの奮闘	43:30.140	0:00.000	decimal	Cue	
カンテ60	45:27.373	0:00.000	decimal	Cue	
クソザコナメクジ三銃士	49:37.462	0:00.000	decimal	Cue	
マーチ	56:27.731	0:00.000	decimal	Cue	
詳細はプロフ欄へ	57:31.027	0:00.000	decimal	Cue	
笑	58:07.195	0:00.000	decimal	Cue	
クレイジーレフェリーとポデンス	58:57.665	0:00.000	decimal	Cue	
いいね５個	1:03:14.043	0:00.000	decimal	Cue	
マーチの起源	1:07:57.815	0:00.000	decimal	Cue	
ハットトリック	1:11:44.044	0:00.000	decimal	Cue	
走馬灯	1:20:18.927	0:00.000	decimal	Cue	
