Name	Start	Duration	Time Format	Type	Description
エンディング	1:13:05.553	0:00.000	decimal	Cue	
データフロー	1:02:21.337	0:00.000	decimal	Cue	
選手 or 関係性にフォーカス	58:05.300	0:00.000	decimal	Cue	
データを楽しむ	55:12.724	0:00.000	decimal	Cue	
③深堀・吉田正尚	49:46.364	0:00.000	decimal	Cue	
サッカーが学べそうなこと	41:21.787	0:00.000	decimal	Cue	
②検証・イメージとデータの照らし合わせ	38:24.531	0:00.000	decimal	Cue	
①妄想・オートペナント	29:35.655	0:00.000	decimal	Cue	
データx野球の楽しみ方	27:42.853	0:00.000	decimal	Cue	
アタリマエのことを当たり前に伝える	14:29.409	0:00.000	decimal	Cue	
慶大野球部	3:07.180	0:00.000	decimal	Cue	
日本のときにいた研究室から	0:00.000	0:00.000	decimal	Cue	
