Name	Start	Duration	Time Format	Type	Description
その他予想	1:10:25.461	0:00.000	decimal	Cue	
Kondo予想	1:08:59.200	0:00.000	decimal	Cue	
Noah予想	1:07:42.341	0:00.000	decimal	Cue	
Yuda (partner)予想	1:04:19.074	0:00.000	decimal	Cue	
Yuda予想	1:00:52.529	0:00.000	decimal	Cue	
Gota予想	57:36.641	0:00.000	decimal	Cue	
予想中	54:23.622	0:00.000	decimal	Cue	
横浜FC	48:48.207	0:00.000	decimal	Cue	
新潟	46:40.000	0:00.000	decimal	Cue	
京都	45:28.452	0:00.000	decimal	Cue	
G大阪	42:23.960	0:00.000	decimal	Cue	
福岡	41:25.425	0:00.000	decimal	Cue	
神戸	40:12.703	0:00.000	decimal	Cue	
湘南	37:32.977	0:00.000	decimal	Cue	
鳥栖	35:20.739	0:00.000	decimal	Cue	
札幌	32:09.457	0:00.000	decimal	Cue	
浦和	28:14.230	0:00.000	decimal	Cue	
名古屋	26:15.788	0:00.000	decimal	Cue	
柏	24:06.846	0:00.000	decimal	Cue	
FC東京	20:40.000	0:00.000	decimal	Cue	
C大阪	18:22.850	0:00.000	decimal	Cue	
鹿島	15:30.000	0:00.000	decimal	Cue	
広島	13:07.942	0:00.000	decimal	Cue	
川崎	9:41.501	0:00.000	decimal	Cue	
横浜FM	6:45.551	0:00.000	decimal	Cue	
