Name	Start	Duration	Time Format	Type	Description
今日のゲストはAGFと浦和のファン、Tobeさん	0:00.000	0:00.000	decimal	Cue	
デンマークサッカーとの出会い	1:53.632	0:00.000	decimal	Cue	
クラウドファンディングでオーフスへ	6:12.040	0:00.000	decimal	Cue	
デンマークサッカーにおけるAGFの立ち位置	11:28.633	0:00.000	decimal	Cue	
盛大な歓迎	17:04.264	0:00.000	decimal	Cue	
オーフスの街	24:02.133	0:00.000	decimal	Cue	
スイス	29:51.830	0:00.000	decimal	Cue	
ユンカー・ショルツのデンマーク時代	31:18.713	0:00.000	decimal	Cue	
広がるデンマークの輪	42:15.166	0:00.000	decimal	Cue	
AGF注目選手	47:36.338	0:00.000	decimal	Cue	
日本での応援チーム	56:13.230	0:00.000	decimal	Cue	
