Name	Start	Duration	Time Format	Type	Description
ENDING	2:34:26	0:00:00	decimal	Cue	
経験と知識	2:24:2	0:00:00	decimal	Cue	
LinLin	2:14:2	0:00:00	decimal	Cue	
CUT	1:55:2	0:00:00	decimal	Cue	
車輪の再発明	1:47:54	0:00:00	decimal	Cue	
うえしょう	1:39:1	0:00:00	decimal	Cue	
周りがさき、自分はあと	1:23:24	0:00:00	decimal	Cue	
https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%B7%A5%E5%AD%A6%E9%99%A2%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B0%82%E9%96%80%E5%AD%A6%E6%A0%A1	1:21:21	0:00:00	decimal	Cue	
ぱいぱいでかみ	1:19:15	0:00:00	decimal	Cue	
うえしょう	1:13:39	0:00:00	decimal	Cue	
友達かもに竹田和正	1:6:20	0:00:00	decimal	Cue	
このはなし大丈夫？	1:2:8	0:00:00	decimal	Cue	
うえしょう	0:53:0	0:00:00	decimal	Cue	
CUT	0:48:37	0:00:00	decimal	Cue	
ビジネス	0:48:30	0:00:00	decimal	Cue	
結婚できる確立は50%	0:42:46	0:00:00	decimal	Cue	
5	0:42:35	0:00:00	decimal	Cue	
4	0:42:32	0:00:00	decimal	Cue	
おれはアクア団だ	0:34:53	0:00:00	decimal	Cue	
母なる海のサンゴを守りたい	0:31:3	0:00:00	decimal	Cue	
3	0:30:16	0:00:00	decimal	Cue	
自分がアホだと気づくと会話が深まるよ	0:15:26	0:00:00	decimal	Cue	
2	0:15:15	0:00:00	decimal	Cue	
マイメロを覗くとき、マイメロもこちらを除いている	0:8:30	0:00:00	decimal	Cue	
1	0:8:5	0:00:00	decimal	Cue	
kikaku	0:5:27	0:00:00	decimal	Cue	
