Name	Start	Duration	Time Format	Type	Description
フットボール支部の将来	1:12:53.206	0:00.000	decimal	Cue	
Yudaの初戦vsわたる	1:06:56.794	0:00.000	decimal	Cue	
Yudaメンバー紹介	57:31.267	0:00.000	decimal	Cue	
私とMPG	54:20.000	0:00.000	decimal	Cue	
出場枠拡大反対派	51:07.996	0:00.000	decimal	Cue	
おたより「W杯出場枠拡大」	33:23.767	0:00.000	decimal	Cue	
来シーズンの観戦	30:47.050	0:00.000	decimal	Cue	
アーセナル2試合	23:16.727	0:00.000	decimal	Cue	
Yuda「ヨーロッパサッカー見に行きたい」	22:12.941	0:00.000	decimal	Cue	
バルセロナvsアスレティッククラブ	17:57.420	0:00.000	decimal	Cue	
グロイターフュルト	10:42.073	0:00.000	decimal	Cue	
2021/07 オーフスvsブレンビー	6:52.232	0:00.000	decimal	Cue	
昨シーズン振り返り	3:36.862	0:00.000	decimal	Cue	
2ヶ月ぶりのフットボール支部	0:00.000	0:00.000	decimal	Cue	
