Name	Start	Duration	Time Format	Type	Description
白戸：楽曲賞	5:50.000	0:00.000	decimal	Cue	
近藤：１より２が面白い賞	18:46.472	0:00.000	decimal	Cue	
白戸：癖タイトル賞	28:34.086	0:00.000	decimal	Cue	
近藤：とにかく笑える賞	36:40.307	0:00.000	decimal	Cue	
白戸：癖時間軸賞	45:12.133	0:00.000	decimal	Cue	
近藤：どんでん返し賞	53:30.000	0:00.000	decimal	Cue	
白戸：おうちタイム賞	1:03:16.000	0:00.000	decimal	Cue	
近藤：おうちタイム賞	1:09:24.000	0:00.000	decimal	Cue	
白戸：役者部門	1:19:22.000	0:00.000	decimal	Cue	
近藤：役者部門	1:23:15.000	0:00.000	decimal	Cue	
惜しくも受賞できなかった作品	1:39:00.905	0:00.000	decimal	Cue	
天使にラブソングを	1:50:39.419	0:00.000	decimal	Cue	
ホラー映画	2:04:50.928	0:00.000	decimal	Cue	
ニコラスケイジに気をつけろ	2:19:52.064	0:00.000	decimal	Cue	
