Name	Start	Duration	Time Format	Type	Description
おまたせしすぎたかも知れません	0:00.000	0:00.000	decimal	Cue	
Netflix - ヒューマニティ通り8番地	4:19.363	0:00.000	decimal	Cue	
Netflix - FRIENDZONE	7:24.372	0:00.000	decimal	Cue	
キャメロン・ディアス	11:54.200	0:00.000	decimal	Cue	
近藤オススメ映画	16:58.819	0:00.000	decimal	Cue	
映画口コミサイト	27:03.254	0:00.000	decimal	Cue	
HWN2020	40:01.612	0:00.000	decimal	Cue	
ジングル	40:39.526	0:00.000	decimal	Cue	
【ニュース】ミャンマー	40:52.541	0:00.000	decimal	Cue	
【ニュース】心理学実験の再現性	1:05:48.753	0:00.000	decimal	Cue	
メディアのあり方	1:22:13.019	0:00.000	decimal	Cue	
ニュースの見方	1:38:18.747	0:00.000	decimal	Cue	
今年の抱負	1:48:23.199	0:00.000	decimal	Cue	
フィットネス	1:50:40.168	0:00.000	decimal	Cue	
