Name	Start	Duration	Time Format	Type	Description
イントロ	0:00.000	0:00.000	decimal	Cue	
一 小学校４年生	2:12.000	0:00.000	decimal	Cue	
二 県内トップ校を目指して高校受験	11:06.698	0:00.000	decimal	Cue	
三 400人中389位からのスタート	14:53.070	0:00.000	decimal	Cue	
四 地獄の大学一年目	24:20.748	0:00.000	decimal	Cue	
五 トップチームに上がるための大学二年生	31:13.823	0:00.000	decimal	Cue	
六 進路に気づいた大学三年	37:56.306	0:00.000	decimal	Cue	
七 監督・大学四年目	55:05.463	0:00.000	decimal	Cue	
八 ドイツ語漬けのドイツ一年目	1:17:28.517	0:00.000	decimal	Cue	
九 現在に至るまで	1:38:06.982	0:00.000	decimal	Cue	
じいちゃんの熱い想い	1:55:03.162	0:00.000	decimal	Cue	
打線を振り返って	2:02:23.323	0:00.000	decimal	Cue	
