Name	Start	Duration	Time Format	Type	Description
Clubhouse	0:00.000	0:00.000	decimal	Cue	
座り仕事	21:23.346	0:00.000	decimal	Cue	
「ハマってる」論争	32:38.615	0:00.000	decimal	Cue	
ネタバレについて	48:47.900	0:00.000	decimal	Cue	
日本ドラマ	1:03:38.296	0:00.000	decimal	Cue	
スターウォーズ	1:18:11.298	0:00.000	decimal	Cue	
ハリーポッター	1:26:37.306	0:00.000	decimal	Cue	
クイーンズ・ギャンビット	1:57:27.900	0:00.000	decimal	Cue	
成長の漫画	2:00:11.260	0:00.000	decimal	Cue	
サッカーマンガ	2:03:22.952	0:00.000	decimal	Cue	
スラムダンク	2:11:31.940	0:00.000	decimal	Cue	
おたより待ってます！	2:23:02.682	0:00.000	decimal	Cue	
