Name	Start	Duration	Time Format	Type	Description
最近観た邦画	56:53.546	0:00.000	decimal	Cue	
悲しい夢を見た	39:12.517	0:00.000	decimal	Cue	
陰性テストを1時間で二回受けた話	0:00.000	0:00.000	decimal	Cue	
