Name	Start	Duration	Time Format	Type	Description
成人式	0:00.000	0:00.000	decimal	Cue	
打線	7:02.450	0:00.000	decimal	Cue	
5植: 早稲田アカデミー	8:27.892	0:00.000	decimal	Cue	
5す:船乗りになる	32:37.978	0:00.000	decimal	Cue	
6植: 半沢直樹	43:21.275	0:00.000	decimal	Cue	
6 す:うっちゃれ五所瓦	58:06.493	0:00.000	decimal	Cue	
7植:カリビアンコム	1:04:27.377	0:00.000	decimal	Cue	
7す:ドボン	1:23:13.633	0:00.000	decimal	Cue	
8植(捕): 浦和レッズ	1:32:38.010	0:00.000	decimal	Cue	
8す: 大学ラグビー	1:44:49.089	0:00.000	decimal	Cue	
9植:万引き	1:54:19.287	0:00.000	decimal	Cue	
9す: 人生で初めてのスキップ	2:15:40.047	0:00.000	decimal	Cue	
僕らの打線	2:25:12.427	0:00.000	decimal	Cue	
控:ひぐらしのなく頃に	2:27:17.067	0:00.000	decimal	Cue	
控:おばあさん助ける	2:34:39.440	0:00.000	decimal	Cue	
控: Saitama City Style	2:37:15.496	0:00.000	decimal	Cue	
やれたかも委員会	2:49:27.950	0:00.000	decimal	Cue	
