Name	Start	Duration	Time Format	Type	Description
intro	0:00.000	0:00.000	decimal	Cue	
King Knuになった後、野宿した	5:19.116	0:00.000	decimal	Cue	
Podcastとの付き合い方	24:45.475	0:00.000	decimal	Cue	
