Name	Start	Duration	Time Format	Type	Description
ガーナからおかえり	0:00.000	0:00.000	decimal	Cue	
想像とのギャップ	8:38.064	0:00.000	decimal	Cue	
天使	14:38.163	0:00.000	decimal	Cue	
カシュー農家: 考えの変化	22:00.000	0:00.000	decimal	Cue	
自分が変えられそうなこと	30:47.912	0:00.000	decimal	Cue	
ガーナでの一日	41:58.843	0:00.000	decimal	Cue	
食事	49:38.146	0:00.000	decimal	Cue	
学校	52:15.000	0:00.000	decimal	Cue	
ADUTWIE村の人	59:37.481	0:00.000	decimal	Cue	
ガーナへ行ってきます	1:08:09.447	0:00.000	decimal	Cue	
KFCを超えたくて、超えたくて	1:15:08.888	0:00.000	decimal	Cue	
日本帰国時に考えていたこと	1:27:24.459	0:00.000	decimal	Cue	
サッカー	1:34:26.509	0:00.000	decimal	Cue	
アフリカの日本人	1:35:58.326	0:00.000	decimal	Cue	
