Name	Start	Duration	Time Format	Type	Description
おたよりありがとうございます	2:26.410	0:00.000	decimal	Cue	
クリスマス	9:52.766	0:00.000	decimal	Cue	
あしだまな	17:28.774	0:00.000	decimal	Cue	
記者が見つけたすごいニュース	25:24.486	0:00.000	decimal	Cue	
ニュース：絵画95億円	43:10.533	0:00.000	decimal	Cue	
絵画と音楽	53:35.531	0:00.000	decimal	Cue	
ニュース：ワンピース名言	1:15:43.298	0:00.000	decimal	Cue	
ニュース：森さん発言	1:26:50.000	0:00.000	decimal	Cue	
先生	1:51:30.000	0:00.000	decimal	Cue	
ラーメン屋にいるカップル	2:04:10.475	0:00.000	decimal	Cue	
ニュース：オピオイド和解	2:24:15.722	0:00.000	decimal	Cue	
ニュース：アマゾン倉庫労働	2:26:58.279	0:00.000	decimal	Cue	
求めるから	2:40:30.000	0:00.000	decimal	Cue	
