Name	Start	Duration	Time Format	Type	Description
チーム数増加	2:09:20.000	0:00.000	decimal	Cue	
Jannik Knack	1:54:42.956	0:00.000	decimal	Cue	
カレッジフットボール転校	1:47:16.870	0:00.000	decimal	Cue	
Sveni Seahorses	1:37:40.000	0:00.000	decimal	Cue	
Borthimore Raves vs McMatze	1:12:36.493	0:00.000	decimal	Cue	
 Thima vs QueenJ	1:07:01.074	0:00.000	decimal	Cue	
QueenJ	57:45.192	0:00.000	decimal	Cue	
ファンタジーフットボールのいいところ	53:24.192	0:00.000	decimal	Cue	
Thimaのチーム	42:33.297	0:00.000	decimal	Cue	
ラムズvsビルズ	39:13.157	0:00.000	decimal	Cue	
アーロン・ロジャース	36:52.044	0:00.000	decimal	Cue	
Gota vs Uesho	32:46.289	0:00.000	decimal	Cue	
Ueshoのチーム	25:37.944	0:00.000	decimal	Cue	
Gotaのチーム	21:48.447	0:00.000	decimal	Cue	
Fantasy Football	18:00.000	0:00.000	decimal	Cue	
走れるQB	6:47.272	0:00.000	decimal	Cue	
Broncos vs Seahawks	1:02.932	0:00.000	decimal	Cue	
Football is coming back!	0:00.000	0:00.000	decimal	Cue	
