Name	Start	Duration	Time Format	Type	Description
フットボール支部＃13	0:00.000	0:00.000	decimal	Cue	
ミシャ監督とコンサドーレ	1:46.445	0:00.000	decimal	Cue	
浦和レッズ西野TDポーランド語インタビュー	8:11.947	0:00.000	decimal	Cue	
浦和レッズ・柴戸海選手	19:14.703	0:00.000	decimal	Cue	
浦和レッズ・高校No.1ストライカー木原励加入	24:17.560	0:00.000	decimal	Cue	
浦和レッズ・酒井宏樹のコンディション	29:12.685	0:00.000	decimal	Cue	
浦和レッズ・岩波拓也	33:03.128	0:00.000	decimal	Cue	
パワハラ問題	38:20.816	0:00.000	decimal	Cue	
日本代表・ドイツ拠点	52:52.590	0:00.000	decimal	Cue	
日本代表・対アンカー問題	1:00:50.075	0:00.000	decimal	Cue	
データ・テクノロジー活用	1:10:00.698	0:00.000	decimal	Cue	
ゴール期待値	1:14:57.800	0:00.000	decimal	Cue	
パスネットワーク	1:26:01.135	0:00.000	decimal	Cue	
ゴール期待値 (J1 2021シーズン)	1:27:54.854	0:00.000	decimal	Cue	
キャリアパスとしての大学サッカー	1:33:06.803	0:00.000	decimal	Cue	
行動制限緩和	1:37:56.698	0:00.000	decimal	Cue	
原博実さんYouTube Live	1:44:44.883	0:00.000	decimal	Cue	
浦和レッズLINE NewsとThe Athletic	1:47:45.743	0:00.000	decimal	Cue	
王者フロンターレ	1:57:00.085	0:00.000	decimal	Cue	
清水エスパルス・新スタジアム	2:00:11.496	0:00.000	decimal	Cue	
Epilogue	2:04:02.904	0:00.000	decimal	Cue	
