Name	Start	Duration	Time Format	Type	Description
娯楽としてのプロスポーツ	1:16:07.921	0:00.000	decimal	Cue	
イチローさん引退会見	1:00:25.000	0:00.000	decimal	Cue	
スポアナ懇親会	56:40.000	0:00.000	decimal	Cue	
Sports Analyst Meetup	50:43.290	0:00.000	decimal	Cue	
練習の組み方	46:55.236	0:00.000	decimal	Cue	
戦ピリにおける紅白戦	41:38.500	0:00.000	decimal	Cue	
野球における戦術的複雑度	30:54.039	0:00.000	decimal	Cue	
野球と戦ピリ	22:26.451	0:00.000	decimal	Cue	
戦術的ピリオダイゼーションとは	13:42.983	0:00.000	decimal	Cue	
セイバーメトリクス	1:34.546	0:00.000	decimal	Cue	
スポアナ第10回	0:00.000	0:00.000	decimal	Cue	
