Name	Start	Duration	Time Format	Type	Description
フットボール支部でやりたいこと	0:00.000	0:00.000	decimal	Cue	
フットボール支部の改善点	3:55.029	0:00.000	decimal	Cue	
気を付ける言葉「対策」	6:35.104	0:00.000	decimal	Cue	
J!リーグ開幕2節を終えて	13:27.262	0:00.000	decimal	Cue	
第3節 vs C大阪	29:01.825	0:00.000	decimal	Cue	
C大阪最終ライン	34:00.259	0:00.000	decimal	Cue	
好きなご飯のおとも	40:09.458	0:00.000	decimal	Cue	
注目選手：毎熊	42:11.463	0:00.000	decimal	Cue	
北野颯太の「対戦して衝撃を受けた選手」	54:49.003	0:00.000	decimal	Cue	
鈴木徳真	59:20.000	0:00.000	decimal	Cue	
聖地・駒場スタジアム	1:01:02.747	0:00.000	decimal	Cue	
[ACL] vs アルヒラル	1:11:33.612	0:00.000	decimal	Cue	
